specimen_id,document_type,quality_profile,field_name,ground_truth_value,extracted_value,normalized_gt,normalized_pred,exact_match,normalized_match,cer,edit_distance,confidence,latency_ms
DOC-00DFAED9_clean,student_id,clean,subject[3].grade,A,,a,,False,False,1.0,1,100,8897
DOC-00DFAED9_clean,student_id,clean,subject[3].credits,3,,3,,False,False,1.0,1,100,8897
DOC-00DFAED9_clean,student_id,clean,subject[4].code,ES101,,es101,,False,False,1.0,5,100,8897
DOC-00DFAED9_clean,student_id,clean,subject[4].grade,B,,b,,False,False,1.0,1,100,8897
DOC-00DFAED9_clean,student_id,clean,subject[4].credits,2,,2,,False,False,1.0,1,100,8897
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,studentName,aryan bhat,aryan bhat,aryan bhat,aryan bhat,True,True,0.0,0,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,rollNumber,2019CE000744,2019CE000744,2019ce000744,2019ce000744,True,True,0.0,0,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,enrollmentNumber,EN201900744,EN201900744,en201900744,en201900744,True,True,0.0,0,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,degreeName,Bachelor of Technology in Civil Engineering,Bachelor of Technology in Civil Engineering,bachelor of technology in civil engineering,bachelor of technology in civil engineering,True,True,0.0,0,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,branchName,civil engineering,civil engineering,civil engineering,civil engineering,True,True,0.0,0,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,batchYears,2019 - 2023,2019 - 2023,2019 - 2023,2019 - 2023,True,True,0.0,0,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,fatherName,prashant bhat,,prashant bhat,,False,False,1.0,13,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,motherName,meera bhat,,meera bhat,,False,False,1.0,10,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,dateOfBirth,2004-10-04,,2004-10-04,,False,False,1.0,10,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,email,aryan.bhat744@vtu.edu.in,,aryan.bhat744@vtu.edu.in,,False,False,1.0,24,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,phone,+91 9862200179,,+91 9862200179,,False,False,1.0,14,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,bloodGroup,ab+,,ab+,,False,False,1.0,3,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,universityName,Vivekananda Technical University,Vivekananda Technical University,vivekananda technical university,vivekananda technical university,True,True,0.0,0,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,universityCode,Vivekananda Technical University,Vivekananda Technical University,vivekananda technical university,vivekananda technical university,True,True,0.0,0,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,universityTagline,Excellence in Engineering and Research,,excellence in engineering and research,,False,False,1.0,38,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,cgpa,6.8,6.8,6.8,6.8,True,True,0.0,0,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,issueDate,2023-07-24,2023-07-24,2023-07-24,2023-07-24,True,True,0.0,0,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,documentType,student_id,,student_id,,False,False,1.0,10,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,subject[0].code,MA101,,ma101,,False,False,1.0,5,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,subject[0].grade,B,,b,,False,False,1.0,1,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,subject[0].credits,4,,4,,False,False,1.0,1,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,subject[1].code,PH101,,ph101,,False,False,1.0,5,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,subject[1].grade,B,,b,,False,False,1.0,1,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,subject[1].credits,3,,3,,False,False,1.0,1,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,subject[2].code,CE304,,ce304,,False,False,1.0,5,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,subject[2].grade,A,,a,,False,False,1.0,1,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,subject[2].credits,3,,3,,False,False,1.0,1,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,subject[3].code,CE303,,ce303,,False,False,1.0,5,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,subject[3].grade,A,,a,,False,False,1.0,1,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,subject[3].credits,3,,3,,False,False,1.0,1,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,subject[4].code,ES101,,es101,,False,False,1.0,5,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,subject[4].grade,B,,b,,False,False,1.0,1,0.95,8537
DOC-00DFAED9_mobile_camera,student_id,mobile_camera,subject[4].credits,2,,2,,False,False,1.0,1,0.95,8537
DOC-00DFAED9_rotated_90,student_id,rotated_90,studentName,aryan bhat,aryan bhat,aryan bhat,aryan bhat,True,True,0.0,0,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,rollNumber,2019CE000744,2019CE000744,2019ce000744,2019ce000744,True,True,0.0,0,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,enrollmentNumber,EN201900744,EN201900744,en201900744,en201900744,True,True,0.0,0,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,degreeName,Bachelor of Technology in Civil Engineering,Bachelor of Technology in Civil Engineering,bachelor of technology in civil engineering,bachelor of technology in civil engineering,True,True,0.0,0,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,branchName,civil engineering,civil engineering,civil engineering,civil engineering,True,True,0.0,0,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,batchYears,2019 - 2023,2019 - 2023,2019 - 2023,2019 - 2023,True,True,0.0,0,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,fatherName,prashant bhat,,prashant bhat,,False,False,1.0,13,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,motherName,meera bhat,,meera bhat,,False,False,1.0,10,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,dateOfBirth,2004-10-04,,2004-10-04,,False,False,1.0,10,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,email,aryan.bhat744@vtu.edu.in,,aryan.bhat744@vtu.edu.in,,False,False,1.0,24,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,phone,+91 9862200179,,+91 9862200179,,False,False,1.0,14,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,bloodGroup,ab+,,ab+,,False,False,1.0,3,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,universityName,Vivekananda Technical University,Vivekananda Technical University,vivekananda technical university,vivekananda technical university,True,True,0.0,0,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,universityCode,Vivekananda Technical University,Vivekananda Technical University,vivekananda technical university,vivekananda technical university,True,True,0.0,0,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,universityTagline,Excellence in Engineering and Research,,excellence in engineering and research,,False,False,1.0,38,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,cgpa,6.8,6.8,6.8,6.8,True,True,0.0,0,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,issueDate,2023-07-24,2023-07-24,2023-07-24,2023-07-24,True,True,0.0,0,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,documentType,student_id,student_id,student_id,student_id,True,True,0.0,0,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,subject[0].code,MA101,,ma101,,False,False,1.0,5,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,subject[0].grade,B,,b,,False,False,1.0,1,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,subject[0].credits,4,,4,,False,False,1.0,1,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,subject[1].code,PH101,,ph101,,False,False,1.0,5,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,subject[1].grade,B,,b,,False,False,1.0,1,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,subject[1].credits,3,,3,,False,False,1.0,1,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,subject[2].code,CE304,,ce304,,False,False,1.0,5,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,subject[2].grade,A,,a,,False,False,1.0,1,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,subject[2].credits,3,,3,,False,False,1.0,1,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,subject[3].code,CE303,,ce303,,False,False,1.0,5,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,subject[3].grade,A,,a,,False,False,1.0,1,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,subject[3].credits,3,,3,,False,False,1.0,1,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,subject[4].code,ES101,,es101,,False,False,1.0,5,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,subject[4].grade,B,,b,,False,False,1.0,1,100,8452
DOC-00DFAED9_rotated_90,student_id,rotated_90,subject[4].credits,2,,2,,False,False,1.0,1,100,8452
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,studentName,aryan bhat,aryan bhat,aryan bhat,aryan bhat,True,True,0.0,0,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,rollNumber,2019CE000744,2019CE000744,2019ce000744,2019ce000744,True,True,0.0,0,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,enrollmentNumber,EN201900744,EN201900744,en201900744,en201900744,True,True,0.0,0,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,degreeName,Bachelor of Technology in Civil Engineering,Bachelor of Technology in Civil Engineering,bachelor of technology in civil engineering,bachelor of technology in civil engineering,True,True,0.0,0,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,branchName,civil engineering,civil engineering,civil engineering,civil engineering,True,True,0.0,0,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,batchYears,2019 - 2023,2019 - 2023,2019 - 2023,2019 - 2023,True,True,0.0,0,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,fatherName,prashant bhat,,prashant bhat,,False,False,1.0,13,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,motherName,meera bhat,,meera bhat,,False,False,1.0,10,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,dateOfBirth,2004-10-04,,2004-10-04,,False,False,1.0,10,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,email,aryan.bhat744@vtu.edu.in,,aryan.bhat744@vtu.edu.in,,False,False,1.0,24,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,phone,+91 9862200179,,+91 9862200179,,False,False,1.0,14,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,bloodGroup,ab+,,ab+,,False,False,1.0,3,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,universityName,Vivekananda Technical University,Vivekananda Technical University,vivekananda technical university,vivekananda technical university,True,True,0.0,0,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,universityCode,Vivekananda Technical University,Vivekananda Technical University,vivekananda technical university,vivekananda technical university,True,True,0.0,0,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,universityTagline,Excellence in Engineering and Research,,excellence in engineering and research,,False,False,1.0,38,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,cgpa,6.8,6.8,6.8,6.8,True,True,0.0,0,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,issueDate,2023-07-24,2023-07-24,2023-07-24,2023-07-24,True,True,0.0,0,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,documentType,student_id,,student_id,,False,False,1.0,10,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,subject[0].code,MA101,,ma101,,False,False,1.0,5,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,subject[0].grade,B,,b,,False,False,1.0,1,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,subject[0].credits,4,,4,,False,False,1.0,1,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,subject[1].code,PH101,,ph101,,False,False,1.0,5,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,subject[1].grade,B,,b,,False,False,1.0,1,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,subject[1].credits,3,,3,,False,False,1.0,1,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,subject[2].code,CE304,,ce304,,False,False,1.0,5,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,subject[2].grade,A,,a,,False,False,1.0,1,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,subject[2].credits,3,,3,,False,False,1.0,1,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,subject[3].code,CE303,,ce303,,False,False,1.0,5,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,subject[3].grade,A,,a,,False,False,1.0,1,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,subject[3].credits,3,,3,,False,False,1.0,1,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,subject[4].code,ES101,,es101,,False,False,1.0,5,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,subject[4].grade,B,,b,,False,False,1.0,1,0.9,8529
DOC-00DFAED9_scanner_copy,student_id,scanner_copy,subject[4].credits,2,,2,,False,False,1.0,1,0.9,8529
DOC-0202119F_clean,marksheet,clean,studentName,dev agarwal,['Dev Agarwal'],dev agarwal,['dev agarwal'],False,False,0.5455,4,0.95,8519
DOC-0202119F_clean,marksheet,clean,rollNumber,2019CE000884,2019CE000884,2019ce000884,2019ce000884,True,True,0.0,0,0.95,8519
DOC-0202119F_clean,marksheet,clean,enrollmentNumber,EN201900884,EN201900884,en201900884,en201900884,True,True,0.0,0,0.95,8519
DOC-0202119F_clean,marksheet,clean,degreeName,Bachelor of Technology in Civil Engineering,Bachelor of Technology in Civil Engineering,bachelor of technology in civil engineering,bachelor of technology in civil engineering,True,True,0.0,0,0.95,8519
DOC-0202119F_clean,marksheet,clean,branchName,civil engineering,['Civil Engineering'],civil engineering,['civil engineering'],False,False,0.3529,4,0.95,8519
DOC-0202119F_clean,marksheet,clean,batchYears,2019 - 2023,['2019 - 2023'],2019 - 2023,['2019 - 2023'],False,False,0.3636,4,0.95,8519
DOC-0202119F_clean,marksheet,clean,fatherName,dev agarwal,,dev agarwal,,False,False,1.0,11,0.95,8519
DOC-0202119F_clean,marksheet,clean,motherName,trisha agarwal,,trisha agarwal,,False,False,1.0,14,0.95,8519
DOC-0202119F_clean,marksheet,clean,dateOfBirth,2002-04-04,,2002-04-04,,False,False,1.0,10,0.95,8519
DOC-0202119F_clean,marksheet,clean,email,dev.agarwal884@vtu.edu.in,,dev.agarwal884@vtu.edu.in,,False,False,1.0,25,0.95,8519
DOC-0202119F_clean,marksheet,clean,phone,+91 9865041724,,+91 9865041724,,False,False,1.0,14,0.95,8519
DOC-0202119F_clean,marksheet,clean,bloodGroup,o-,,o-,,False,False,1.0,2,0.95,8519
DOC-0202119F_clean,marksheet,clean,universityName,Vivekananda Technical University,Vivekananda Technical University,vivekananda technical university,vivekananda technical university,True,True,0.0,0,0.95,8519
DOC-0202119F_clean,marksheet,clean,universityCode,Vivekananda Technical University,Vivekananda Technical University,vivekananda technical university,vivekananda technical university,True,True,0.0,0,0.95,8519
DOC-0202119F_clean,marksheet,clean,universityTagline,Excellence in Engineering and Research,,excellence in engineering and research,,False,False,1.0,38,0.95,8519
DOC-0202119F_clean,marksheet,clean,cgpa,7.07,7.07,7.07,7.07,True,True,0.0,0,0.95,8519
DOC-0202119F_clean,marksheet,clean,issueDate,2023-12-06,2023-12-06,2023-12-06,2023-12-06,True,True,0.0,0,0.95,8519
DOC-0202119F_clean,marksheet,clean,documentType,marksheet,,marksheet,,False,False,1.0,9,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[0].code,ES101,,es101,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[0].grade,A+,,a+,,False,False,1.0,2,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[0].credits,2,,2,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[1].code,MA102,,ma102,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[1].grade,A,,a,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[1].credits,4,,4,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[2].code,CE302,,ce302,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[2].grade,A,,a,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[2].credits,3,,3,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[3].code,CE202,,ce202,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[3].grade,A+,,a+,,False,False,1.0,2,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[3].credits,3,,3,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[4].code,CE204,,ce204,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[4].grade,O,,o,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[4].credits,3,,3,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[5].code,CE202,,ce202,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[5].grade,C,,c,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[5].credits,3,,3,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[6].code,CH101,,ch101,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[6].grade,C,,c,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[6].credits,3,,3,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[7].code,MA102,,ma102,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[7].grade,C,,c,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[7].credits,4,,4,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[8].code,PH101,,ph101,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[8].grade,C,,c,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[8].credits,3,,3,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[9].code,CE203,,ce203,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[9].grade,C,,c,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[9].credits,3,,3,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[10].code,CH101,,ch101,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[10].grade,C,,c,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[10].credits,3,,3,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[11].code,CE304,,ce304,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[11].grade,B+,,b+,,False,False,1.0,2,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[11].credits,3,,3,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[12].code,MA102,,ma102,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[12].grade,B,,b,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[12].credits,4,,4,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[13].code,ES101,,es101,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[13].grade,B+,,b+,,False,False,1.0,2,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[13].credits,2,,2,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[14].code,CE202,,ce202,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[14].grade,B,,b,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[14].credits,3,,3,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[15].code,CH101,,ch101,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[15].grade,A,,a,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[15].credits,3,,3,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[16].code,ES101,,es101,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[16].grade,B+,,b+,,False,False,1.0,2,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[16].credits,2,,2,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[17].code,CE304,,ce304,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[17].grade,B+,,b+,,False,False,1.0,2,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[17].credits,3,,3,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[18].code,CE203,,ce203,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[18].grade,B+,,b+,,False,False,1.0,2,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[18].credits,3,,3,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[19].code,CE302,,ce302,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[19].grade,A,,a,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[19].credits,3,,3,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[20].code,PH101,,ph101,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[20].grade,A+,,a+,,False,False,1.0,2,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[20].credits,3,,3,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[21].code,CH101,,ch101,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[21].grade,A+,,a+,,False,False,1.0,2,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[21].credits,3,,3,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[22].code,HS101,,hs101,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[22].grade,A+,,a+,,False,False,1.0,2,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[22].credits,2,,2,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[23].code,CE304,,ce304,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[23].grade,A+,,a+,,False,False,1.0,2,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[23].credits,3,,3,,False,False,1.0,1,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[24].code,CE205,,ce205,,False,False,1.0,5,0.95,8519
DOC-0202119F_clean,marksheet,clean,subject[24].grade,B+,,b+,,False,False,1.0,2,0.95,8519
